VendorNumber,VendorName,ProfitMargin,TotalSalesDol,GrossProfit
10754,PERFECTA WINES,-5287.277027715391,78744705.45,-4163450721.7999997
7749,R.P.IMPORTS INC,-3267.705733626115,19609.58,-640783.37
9165,ULTRA BEVERAGE COMPANY LLP,-2926.7544643868337,355793652.43,-10413206606.5
4425,MARTIGNETTI COMPANIES,-2486.03061202551,1467460165.43,-36481508931.869995
1650,Circa Wines,-2289.27022230428,112765.71,-2581511.8200000003
7153,PINE STATE TRADING CO,-1983.3104710724872,59779987.46,-1185622750.8999999
9552,M S WALKER INC,-1924.7835280008537,441330293.88,-8494652800.68
3951,HIGHLAND WINE MERCHANTS LLC,-1697.863924050633,1845.44,-31333.059999999998
90047,CRUSH WINES,-1512.7085921471921,2344678.9899999998,-35468160.54
9099,TRUETT HURST,-1486.9913275517008,14.99,-222.89999999999998
